root	leaf	logFC_root_leaf	PValue_root_leaf	FDR_root_leaf
AT1TE04835	29.5740120033866	16.4114842066704	0.787942919885741	0.999999999999999	1
AT1TE04840	0	0	0	1	1
AT1TE04920	12.5261827700295	63.2866575317363	-2.12113403858258	0.24752240868654	1
AT1TE04970	0	0	0	1	1
AT1TE04975	0	0	0	1	1
AT1TE04980	0	0	0	1	1
AT1TE04985	0	0	0	1	1
AT1TE04990	37.763951272122	157.728306427079	-1.82667023870819	0.379412896891173	1
AT1TE04995	0	0	0	1	1
AT1TE05000	0	0	0	1	1
AT1TE05170	0	0	0	1	1
AT1TE05220	0	0	0	1	1
AT1TE05225	0	0	0	1	1
AT1TE05280	0	0	0	1	1
AT1TE05480	0	0	0	1	1
AT1TE05485	0	0	0	1	1
AT1TE05490	0	0	0	1	1
AT1TE05580	0	0	0	1	1
AT1TE05585	0	0	0	1	1
AT1TE05590	0	0	0	1	1
AT1TE05700	0	0	0	1	1
AT1TE05870	3376.10066974243	2536.98854268215	0.418525711817344	0.334602375242554	1
AT1TE06030	0	0	0	1	1
AT1TE06060	0	0	0	1	1
AT1TE06140	0	0	0	1	1
AT1TE06220	0	0	0	1	1
AT1TE06340	0	0	0	1	1
AT1TE06345	0	0	0	1	1
AT1TE06460	0	0	0	1	1
AT1TE06465	0	0	0	1	1
AT1TE06470	0	0	0	1	1
AT1TE06475	0	0	0	1	1
AT1TE06480	0	0	0	1	1
AT1TE06485	0	0	0	1	1
AT1TE06560	8723.65517014015	9210.37086916859	-0.078892623271854	0.728297417999329	1
AT1TE06650	0	0	0	1	1
AT1TE06655	0	0	0	1	1
AT1TE06730	2211.11444208958	1160.98894988915	0.921864163393067	0.0303455761542812	1
AT1TE06780	410.110473600227	447.621413449851	-0.124080162797606	0.523711834459466	1
AT1TE07050	43.2502531612395	22.751959245676	0.853272200601242	0.690634514946863	1
AT1TE07150	0	0	0	1	1
AT1TE07155	0	0	0	1	1
AT1TE07160	0	0	0	1	1
AT1TE07165	412.602397278621	798.889416451279	-0.931049737711043	0.146131739932435	1
AT1TE07180	65.6892285916674	54.2637784252812	0.319762726878917	0.999999999999999	1
AT1TE07290	0	0	0	1	1
AT1TE07295	0	0	0	1	1
AT1TE07300	0	7.78417846133682	-2.34990270307855	0.999999999999995	1
AT1TE07305	0	0	0	1	1
AT1TE07360	0	0	0	1	1
AT1TE07365	0	0	0	1	1
AT1TE07460	0	0	0	1	1
AT1TE07620	17.9901259961254	0	3.13896422498189	0.502158568220273	1
AT1TE07625	0	0	0	1	1
AT1TE07750	0	0	0	1	1
AT1TE07780	0	0	0	1	1
AT1TE07880	0	0	0	1	1
AT1TE07970	914.257668726323	1630.91159732094	-0.816730204460647	0.0521850093504416	1
AT1TE08020	0	0	0	1	1
AT1TE08050	13.4129921696776	27.1068515445667	-0.906288594222376	1	1
